Name,Website,Total Capital Raised,Company Age,Maximum Employees,Wordpress,40 blogs
802 Secure,http://www.802secure.com,6000000,6,50,,
80 Acres Farms,https://www.eafarms.com/,40000000,5,100,,
818 Sports & Entertainment,http://www.818se.com/,27000000,8,10,,
86Borders,https://86borders.com/,1694000,6,50,,
8base,http://8base.com,2800000,3,50,,
8D World,http://www.8dworld.com/English/Home.html,12250000,13,100,,
8i,http://8i.com/,41481914,6,50,,
8thBridge,http://www.8thbridge.com,15590000,12,50,,
8th Wall,https://www.8thwall.com,10400000,4,50,,
8tracks Radio,http://www.8tracks.com,7709877,12,50,,
911 security,http://911security.com,6000000,5,10,,
915 Labs LLC,http://www.915labs.com,3000000,6,10,,
954 Home Buyers,http://954homebuyers.com,2000000,5,100,,
99degrees Custom,http://www.99degreescustom.com,2276058,7,10,,
99designs,http://99designs.com,45000000,12,250,,
9Lenses,http://www.9lenses.com,16740000,10,100,,
9Mile Labs,http://www.9milelabs.com,900000,7,10,,
9slides,http://www.9SLIDES.com,925000,10,50,,
9th Gear Technologies,https://www.9thGear.io,2903080,2,50,,
A2Zlogix,http://a2zlogix.com,25000000,9,100,,
A4C,http://www.a4c.us,1000000,6,50,,
AaDya Security,https://www.aadyasecurity.com/,2000000,1,50,,
Aardvark,http://vark.com,6000000,13,50,,
AavGo,http://aavgo.com/,3500000,4,50,,
AAVogen,http://www.aavogen.com,2300000,5,10,,
Abacus Insights,https://abacusinsights.com/,12700000,3,50,,
Abacus Labs,http://abacus.com/,3500000,7,50,,
Abakus,http://abakus.me,825000,7,50,,
Abbey House Media,http://www.abbeyhomemedia.com,1200000,14,10,,
"AbboMax, Inc",http://www.abbomax.com,2500000,15,50,,
Ab E Discovery,https://www.abediscovery.com/,1100000,5,10,,
Abe's Market,http://www.abesmarket.com,19148000,11,50,,
AB Group,http://www.abgroup.com,4845819,15,50,,
Abide Therapeutics,http://abidetx.com,2250180,9,50,,
Abilitech Medical,https://abilitechmedical.com/,7400000,4,50,,
Ability Dynamics,http://www.abilitydynamics.com,1500000,11,50,,
AbilTo,http://www.abilto.com,21000000,12,250,,
Abine,http://www.abine.com,6467283,12,50,,
Abiquo Group,http://www.abiquo.com,25878770,14,50,,
A Bit Lucky,http://www.abitlucky.com,10312103,11,50,,
Able Planet,http://www.ableplanet.com,16788448,15,50,,
AbleTo,https://www.ableto.com/,46599999,12,250,,
Ablexis,http://www.ablexis.com,12000000,11,10,,
Ablio,https://ablio.com,1562774,5,50,,
Abloomy,http://www.abloomy.com,3000000,12,250,,
Abl Schools,http://www.ablschools.com/,12000000,5,50,,
Abnormal Security,https://www.abnormalsecurity.com,24000000,2,50,,
abode,http://www.goabode.com,20329905,6,10,,
Abode,http://useabode.com,2664001,5,10,,
Abodewell,https://www.abodewell.com/,4000000,3,50,,
ABODO,https://www.abodo.com,10918000,9,50,,
Abogen,http://abogen.com/,1080000,8,10,,
Abom,http://abom.com/,9948495,8,50,,
aboutLife,https://aboutlife.com,3000000,7,10,,
about.me,http://about.me,17087500,10,50,,
AboutOne,http://www.AboutOne.com,4439407,10,50,,
AboutUs.org,http://www.aboutus.org,7618249,14,50,,
Above Average,http://aboveaverage.com/,25750000,8,100,,
Abpro,http://www.abpro-labs.com,22389984,13,50,,
Abra,http://abra.com,47500000,6,100,,
Abreos Biosciences,http://abreos.com/,900000,7,10,,
AbSci,http://www.abscibio.com/,17100000,9,54,,
Absio,http://absio.com,7504241,11,50,,
ABSMaterials,http://www.absmaterials.com,4500000,12,50,,
Absorption Pharmaceuticals,http://promescent.com,1200000,12,10,,
ABT Molecular Imaging,http://abt-mi.com/,28364818,14,50,,
Abundant Robotics,http://www.abundantrobotics.com/,12000000,4,10,,
Abusix,http://abusix.com,1300000,11,50,,
Abyrx,http://www.abyrx.com/,10000000,7,50,,
Acacia Living,http://acacialiving.com,2338650,10,10,,
Academia.edu,https://www.academia.edu/,33800000,13,222,,
"ACAExpress.com, Inc.",http://www.acaexpress.com,1000000,6,50,,
Acalvio Technologies,http://www.acalvio.com/,33050000,5,50,,
AccelData,http://acceldata.io,2060000,2,50,,
Accelera,http://acceleramb.com/,3033472,11,10,,
Accelerated Vision Group,http://acceleratedvision.com,8500000,9,50,,
Accelerate Learning,http://www.acceleratelearning.com/,10000000,7,50,,
Acceleration Systems,http://accelerationsystems.com/,4500000,11,50,,
Accelo,http://www.accelo.com,11000000,9,100,,
AccelOps,http://www.accelops.com,20700000,13,250,,
Accel Robotics,http://www.accelrobotics.com,35519000,5,100,,
Accend,http://accend.us/,1200000,5,50,,
Accend,http://www.accend.io,9179849,8,50,,
Accent Therapeutics,https://www.accenttx.com/,40000000,3,50,,
Acceptd,http://getacceptd.com,3020000,9,50,,
Accern,https://accern.com,6935000,6,50,,
AccessFintech,https://www.accessfintech.com/,17500000,4,50,,
Access HealthNet,http://www.accesshealthnet.com,6446001,6,50,,
access.mobile International,http://accessmobile.io,2552500,9,50,,
Access Network,http://www.accessnetwork.com,3200000,12,50,,
Access Physicians,https://accessphysicians.com/,9300000,9,100,,
Access Vascular,http://www.accessvascularinc.com,15096000,5,10,,
Accio Energy,http://www.accioenergy.com,4500000,13,10,,
Accion Systems,http://www.accion-systems.com,15500000,6,50,,
Accompany,https://www.accompany.com/,40600000,7,50,,
Accomplice,http://www.accomplice.io,5000000,7,50,,
Accord Biomaterials,http://accordbiomaterials.com,1200000,12,10,,
Accordion Health,https://accordionhealth.com,1150000,6,50,,
Accredible,http://www.accredible.com,3500000,7,50,,
Accreon,http://www.accreon.com/,5500000,12,250,,
Accrualify,http://www.accrualify.com,3800000,5,50,,
AcctTwo Shared Services,http://www.accttwo.com,1020000,10,50,,
Accudial Pharmaceutical,http://accudialpharmaceutical.com,12024769,10,50,,
Accuitis,http://accuitis.com/,3750000,9,10,,
Accuity Delivery Systems,https://www.accds.com,39959996,4,100,,
Acculitx,http://www.acculitx.com/,1000000,8,50,,
Accumen,http://www.accumen.com/,6700000,9,250,,
AccuraGen Holdings,http://www.accuragen.com,40000000,7,100,,
Accurence,http://www.accurence.com,4277507,15,100,,
AccuVein,http://www.accuvein.com,30500000,14,100,,
ACEINNA,https://www.aceinna.com,50000000,3,100,,
Ace Metrix,http://www.acemetrix.com,24980307,13,243,,
Acera Surgical,http://www.acera-surgical.com,5722500,7,10,,
Acer Innovation,http://www.acerinnovation.com/,800000,5,250,,
Acer Therapeutics,http://www.acertx.com/,25924382,7,50,,
Acesis,http://www.acesis.com,3638201,14,50,,
Acetti Software,http://www.acettisoftware.com/,5200000,5,50,,
AceUp,https://www.ace-up.com,2300000,5,50,,
AceUp,https://www.aceup.com,2300000,5,50,,
Acheive CCA,http://www.achievecca.com,5750000,14,10,,
Achelios Therapeutics,http://www.achelios.com,3520442,8,10,,
Achieve Financial Services,http://www.achievecard.com,13500000,11,100,,
AchieveIt,https://www.achieveit.com,12500000,10,50,,
Achvr,http://www.achvrs.com,1250000,9,10,,
Aciex Therapeutics,http://www.aciexrx.com,9599860,13,10,,
Acivilate,http://acivilate.com/,3000000,6,10,,
Aclaimant,https://aclaimant.com,2956181,7,50,,
Aclima,https://aclima.io/,24000000,10,50,,
Aclipse Therapeutics,https://www.aclipsetherapeutics.com/,1000000,3,10,,
ACM Capital Partners,http://acmcapitalpartners.com,8000000,12,50,,
Acompli,https://www.acompli.com,7300000,7,50,,
Acousticeye,http://www.acousticeye.com,15000000,14,50,,
Acquire,https://acquire.io,5400000,4,100,,
Acquire Real Estate,https://www.acquirerealestate.com/,6000000,6,10,,
Acre Designs,https://www.acre.co,1720000,5,50,,
Acrobatiq,http://acrobatiq.com/,9750000,7,50,,
Actacell,http://www.actacell.com,9800000,13,10,,
Act+Acre,https://actandacre.com,2999000,3,10,,
Actasys,http://actasysinc.com/,1349300,7,10,,
Actasys,http://www.actasysinc.com/,1349300,7,10,,
ACT Biotech,http://www.actbiotech.com,26980000,12,50,,
Actinobac Biomed,http://www.actinobac.com,6000000,11,50,,
Actionable Quality Assurance,http://www.actionableqa.com/,2000000,5,10,,
